Symbol	Company	LTP	Share Outstanding	Floated Shares	Market Cap (NPR)	Floated Market Cap	Impact In NEPSE	50D Avg Volume
GMFBS	Ganapati Microfinance Bittiya Sanstha Limited	1590.31	1,515,545	490,582.02	2,410,186,885.80	780,177,495	0.05 %	1806.36
CHL	Chhyangdi Hydropower Ltd.	302.65	7,739,550	7,739,550.00	2,342,374,807.50	2,342,374,808	0.05 %	58386.04
JSLBB	Janautthan Samudayic Laghubitta Bikas Bank Ltd.	1346.15	1,700,919	765,413.55	2,289,692,111.85	1,030,361,450	0.05 %	2354.82
RAWA	Rawa Energy Development Limited	779.55	2,800,000	737,283.00	2,182,740,000.00	574,748,963	0.05 %	3553.28
AHL	Asian Hydropower Limited	638.11	3,400,000	823,200.00	2,169,574,000.00	525,292,152	0.05 %	9351.1
SHLB	Shrijanshil Laghubitta Bittiya Sanstha Limited	1978.02	1,093,750	393,750.00	2,163,459,375.00	778,845,375	0.05 %	1567.74
MKJC	Mailung Khola Jal Vidhyut Company Limited	562.01	3,763,198	3,763,198.24	2,114,955,043.83	2,114,955,044	0.05 %	57144.06
BNHC	Buddha Bhumi Nepal Hydro Power Co. Ltd.	518.42	4,000,000	4,000,000.00	2,073,680,000.00	2,073,680,000	0.04 %	22218.1
DLBS	Dhaulagiri Laghubitta Bittiya Sanstha Limited	1503.88	1,331,000	427,251.00	2,001,664,280.00	642,534,234	0.04 %	2442.36
JOSHI	Joshi Hydropower Development Company Ltd	319.81	6,128,100	6,128,100.00	1,959,827,661.00	1,959,827,661	0.04 %	106195.34
BHPL	Barahi Hydropower Public Limited	773.68	2,500,000	584,920.00	1,934,200,000.00	452,540,906	0.04 %	6702.28
SPL	Shuvam Power Limited	916.35	2,000,000	568,970.00	1,832,700,000.00	521,375,660	0.04 %	8646.94
SPHL	Sayapatri Hydropower Limited	594.7	3,000,000	706,639.00	1,784,100,000.00	420,238,213	0.04 %	5705.1
MLBS	Manushi Laghubitta Bittiya Sanstha Limited	1621.02	1,093,750	393,750.00	1,772,990,625.00	638,276,625	0.04 %	1836.18
WNLB	Wean Nepal Laghubitta Bittiya Sanstha Ltd.	2198.26	792,113	237,633.90	1,741,270,323.38	522,381,097	0.04 %	2393.12
USHL	Upper Syange Hydropower Limited	691.65	2,200,000	637,100.00	1,521,630,000.00	440,650,215	0.03 %	3336.7
HEIP	Himalayan Everest Insurance Limited (Promoter)	368	2,675,044	0.00	984,416,192.00	0	0.02 %	0
DHPL	Dibyashwori Hydropower Ltd.	304.9	2,640,000	2,640,000.00	804,936,000.00	804,936,000	0.02 %	25515.28
SAMAJ	Samaj Laghubitta Bittiya Sanstha Limited	2893.85	228,500	98,255.00	661,244,725.00	284,335,232	0.01 %	1165.24
NLO	Nepal Lube Oil Limited	293.2	728,627	238,260.96	213,633,377.76	69,858,115	0.00 %	0
